ad_id,region,percentage
2530702150300577,Northern Ireland,1
1052112738473084,Northern Ireland,1
561771974599501,Northern Ireland,1
718424775311531,Northern Ireland,1
1006080849725922,Northern Ireland,1
2198258700479233,Northern Ireland,1
598381490920785,Northern Ireland,1
785511771909632,Northern Ireland,1
2727176920846006,Northern Ireland,1
2421982304691282,Donegal,6.4E-5
2421982304691282,Northern Ireland,0.999936
430773694238299,County Cork,9.8E-5
430773694238299,Languedoc-Roussillon,0.001081
430773694238299,Baden-Württemberg,0.001769
430773694238299,Alsace,0.000639
430773694238299,Rhône-Alpes,0.003734
430773694238299,Provence-Alpes-Côte d'Azur,0.004472
430773694238299,Poitou-Charentes,0.000491
430773694238299,Picardie,0.000344
430773694238299,Pays de la Loire,0.002653
430773694238299,Nord-Pas-de-Calais,0.00113
430773694238299,Midi-Pyrénées,0.002162
430773694238299,Lorraine,0.000639
430773694238299,Limousin,0.000147
430773694238299,Île-de-France,0.009238
430773694238299,Hamburg,0.000246
430773694238299,Haute-Normandie,0.000688
430773694238299,Franche-Comté,0.000197
430773694238299,Corse,0.001327
430773694238299,Champagne-Ardenne,0.000786
430773694238299,Centre,0.000688
430773694238299,Bretagne,0.002162
430773694238299,Aquitaine,0.001818
430773694238299,Vienna,0.002309
430773694238299,Styria,0.000442
430773694238299,Salzburg,0.000246
430773694238299,Upper Austria,0.000541
430773694238299,Bayern,0.002015
430773694238299,Hessen,0.00113
430773694238299,Burgenland,0.000197
430773694238299,County Offaly,0.000147
430773694238299,Bourgogne,0.000246
430773694238299,Basse-Normandie,0.000246
430773694238299,Auvergne,0.000147
430773694238299,Vorarlberg,0.000197
430773694238299,Tyrol,0.000147
430773694238299,Lower Austria,0.000393
430773694238299,Flevoland,9.8E-5
430773694238299,Noord-Holland,0.000344
430773694238299,Groningen,0.000147
430773694238299,Wexford,4.9E-5
430773694238299,Roscommon,4.9E-5
430773694238299,County Louth,9.8E-5
430773694238299,Niedersachsen,0.001179
430773694238299,County Longford,4.9E-5
430773694238299,Galway,4.9E-5
430773694238299,County Clare,4.9E-5
430773694238299,Cavan,9.8E-5
430773694238299,Carlow,4.9E-5
430773694238299,Berlin,0.000393
430773694238299,Thüringen,9.8E-5
430773694238299,Saxony-Anhalt,0.000197
430773694238299,Sachsen,0.000344
430773694238299,Schleswig-Holstein,0.000197
430773694238299,Rheinland-Pfalz,0.00059
430773694238299,Nordrhein-Westfalen,0.001327
430773694238299,Carinthia,0.000246
430773694238299,Northern Ireland,4.9E-5
430773694238299,Donegal,4.9E-5
430773694238299,Friuli-Venezia Giulia,0.012628
430773694238299,Trentino-Alto Adige,0.012088
430773694238299,Tuscany,0.03872
430773694238299,Sicilia,0.038082
430773694238299,Sardinia,0.004963
430773694238299,Puglia,0.020785
430773694238299,Piedmont,0.074493
430773694238299,Molise,0.001376
430773694238299,Marche,0.010221
430773694238299,Lombardia,0.080291
430773694238299,Liguria,0.016412
430773694238299,Lazio,0.119208
430773694238299,Emilia-Romagna,0.055919
430773694238299,Aosta Valley,0.001376
430773694238299,Campania,0.025896
430773694238299,Calabria,0.017149
430773694238299,Basilicata,0.004521
430773694238299,Abruzzo,0.012481
430773694238299,County Westmeath,4.9E-5
430773694238299,County Tipperary,0.000197
430773694238299,County Meath,4.9E-5
430773694238299,County Mayo,0.000147
430773694238299,Limerick,9.8E-5
430773694238299,Kildare,0.000197
430773694238299,Dublin,0.002506
430773694238299,Umbria,0.009385
430773694238299,Veneto,0.078276
430773694238299,Scotland,4.9E-5
430773694238299,Islas Canarias,0.001572
430773694238299,England,0.000491
430773694238299,Wallonia,0.008697
430773694238299,Flemish Region,0.02452
430773694238299,Brussels,0.033119
430773694238299,Comunidad Valenciana,0.026436
430773694238299,País Vasco,0.010171
430773694238299,Galicia,0.004717
430773694238299,Extremadura,0.004914
430773694238299,Cataluña,0.030072
430773694238299,Castilla y Leon,0.0114
430773694238299,Castilla-La Mancha,0.028549
430773694238299,Aragón,0.0228
430773694238299,Gelderland,0.000491
430773694238299,Andalusia,0.038376
430773694238299,Cantabria,0.002457
430773694238299,Principality of Asturias,0.00285
430773694238299,Navarra,0.004668
430773694238299,Region of Murcia,0.00457
430773694238299,Comunidad de Madrid,0.038131
430773694238299,La Rioja,0.0057
430773694238299,Balearic Islands,0.005798
430773694238299,Overijssel,4.9E-5
430773694238299,Zuid-Holland,0.000344
430773694238299,Zeeland,0.000147
430773694238299,North Brabant,0.000688
430773694238299,Saarland,4.9E-5
633374893863918,Northern Ireland,1
958150397882607,Northern Ireland,1
586370428836116,Northern Ireland,1
546404979243824,Northern Ireland,1
711044099385134,Northern Ireland,1
766716003792628,Northern Ireland,1
2759873360700572,Northern Ireland,1
758430511342321,Northern Ireland,1
3174462875913870,Northern Ireland,1
2579807895671184,Northern Ireland,1
2203090866667084,Northern Ireland,1
2333705703404932,Northern Ireland,1
1153103714892043,Northern Ireland,1
2707539475951638,England,0.875294
2707539475951638,Wales,0.058824
2707539475951638,Scotland,0.046275
2707539475951638,Northern Ireland,0.019608
2545515895502485,Northern Ireland,1
781100382357423,Northern Ireland,1
3324951420880654,Northern Ireland,1
2420174811414443,England,1
2420174811414443,Northern Ireland,0
2354089548235421,Northern Ireland,1
2457529044486044,Northern Ireland,1
718206818680938,Northern Ireland,1
998790413819273,Northern Ireland,1
549580892496244,Northern Ireland,1
573256210144164,Northern Ireland,1
963329917356157,Northern Ireland,1
622331051636108,Donegal,0.00612
622331051636108,Northern Ireland,0.99388
479279776267424,Northern Ireland,1
743083742784635,Northern Ireland,1
797026884081602,Northern Ireland,1
566885160788373,Northern Ireland,1
418944835446130,Northern Ireland,1
779048605876673,Northern Ireland,1
696556554176189,Northern Ireland,1
411867209726934,Wales,1
411867209726934,Northern Ireland,0
1211965955838671,Northern Ireland,1
749624978814446,Northern Ireland,1
535548960594229,Northern Ireland,1
450178388950248,England,1
450178388950248,Northern Ireland,0
2688623931198834,England,0.696429
2688623931198834,Wales,0.09375
2688623931198834,Scotland,0.169643
2688623931198834,Northern Ireland,0.040179
1413177492167853,England,0.8768
1413177492167853,Wales,0.062
1413177492167853,Scotland,0.0292
1413177492167853,Northern Ireland,0.032
2965602310134056,England,0.777778
2965602310134056,Wales,0.087542
2965602310134056,Scotland,0.117845
2965602310134056,Northern Ireland,0.016835
562232614511495,England,0.473401
562232614511495,Wales,0.051852
562232614511495,Scotland,0.331313
562232614511495,Northern Ireland,0.143434
529080947891520,England,0.768228
529080947891520,Wales,0.108678
529080947891520,Scotland,0.06626
529080947891520,Northern Ireland,0.056834
2261550783954966,Scotland,1
2261550783954966,Northern Ireland,0
2141748929465077,England,1
2141748929465077,Northern Ireland,0
252058155728062,England,0.814808
252058155728062,Wales,0.092229
252058155728062,Scotland,0.0395
252058155728062,Northern Ireland,0.053463
2477169849237680,Northern Ireland,1
410079393244263,Northern Ireland,1
3346785428672651,England,0.929577
3346785428672651,Wales,0.056338
3346785428672651,Scotland,0.014085
3346785428672651,Northern Ireland,0
1315917168569804,England,0.798077
1315917168569804,Wales,0.038462
1315917168569804,Scotland,0.115385
1315917168569804,Northern Ireland,0.048077
2431331340478250,Northern Ireland,1
392518991383653,England,1
392518991383653,Northern Ireland,0
2081220618853379,Northern Ireland,1
386089125396504,Northern Ireland,1
514485735968506,Cavan,0.001892
514485735968506,Donegal,0.10596
514485735968506,Northern Ireland,0.892148
649135435496150,England,1
649135435496150,Northern Ireland,0
2368762783391088,Northern Ireland,1
937515176617711,Northern Ireland,1
241316546782531,England,1
241316546782531,Northern Ireland,0
765040750583793,Northern Ireland,1
542741289795898,Northern Ireland,1
451424788803675,England,0.864637
451424788803675,Wales,0.048056
451424788803675,Scotland,0.087307
451424788803675,Northern Ireland,0
2461802710813532,England,0.868954
2461802710813532,Wales,0.054545
2461802710813532,Scotland,0.076501
2461802710813532,Northern Ireland,0
2492769150817879,Northern Ireland,1
368021530740807,Northern Ireland,1
514832332678573,Northern Ireland,1
2182429475199144,Northern Ireland,1
853942831665934,Northern Ireland,1
2318770378235832,Northern Ireland,1
498396880949653,Northern Ireland,1
858321497896263,England,0.847222
858321497896263,Wales,0.1
858321497896263,Scotland,0.038889
858321497896263,Northern Ireland,0.013889
2374905062772457,Scotland,1
2374905062772457,Northern Ireland,0
1113464048840556,England,0.000258
1113464048840556,Scotland,0.000129
1113464048840556,Northern Ireland,0.999612
762876204170224,England,1
762876204170224,Northern Ireland,0
379143462781789,Wales,0.001142
379143462781789,England,0.998858
379143462781789,Northern Ireland,0
401872447350917,England,0.870748
401872447350917,Wales,0.079932
401872447350917,Scotland,0.022109
401872447350917,Northern Ireland,0.027211
373461656686798,England,0.800761
373461656686798,Wales,0.081218
373461656686798,Scotland,0.095178
373461656686798,Northern Ireland,0.022843
276542609883805,Northern Ireland,1
867194750284821,England,1
867194750284821,Northern Ireland,0
638455696652357,England,1
638455696652357,Northern Ireland,0
2174970015934348,England,0.822398
2174970015934348,Wales,0.067873
2174970015934348,Scotland,0.093891
2174970015934348,Northern Ireland,0.015837
1089072704630486,England,1
1089072704630486,Northern Ireland,0
2718814764814435,Scotland,0.127357
2718814764814435,England,0.726193
2718814764814435,Wales,0.088242
2718814764814435,Northern Ireland,0.058207
768228383594018,Northern Ireland,0.035714
768228383594018,England,0.780571
768228383594018,Wales,0.080857
768228383594018,Scotland,0.102857
628527080979503,England,0.753372
628527080979503,Wales,0.063584
628527080979503,Scotland,0.109827
628527080979503,Northern Ireland,0.073218
860383160992449,Northern Ireland,1
480677929371177,Northern Ireland,1
344633179541096,England,0.835934
344633179541096,Wales,0.069504
344633179541096,Scotland,0.073286
344633179541096,Northern Ireland,0.021277
458850597993559,England,1
458850597993559,Northern Ireland,0
